Genus,Size,Nest1 ,Nest2,Sociality,Lecty,Season
Agapostemon,mid,below,excavate,multiple,poly,late
Andrena,mid,below,excavate,multiple,multiple,early
Anthidium,mid,above,rent,solitary,poly,late
Anthophora,large,below,excavate,multiple,poly,early
Apis,mid,above,excavate,social,poly,mid
Ashmeadiella,small,both,rent,solitary,poly,mid
Atoposmia,small,above,rent,solitary,oligo,mid
Augochlorella,small,above,excavate,social,poly,late
Bombus,large,below,rent,social,poly,early
Ceratina,small,above,excavate,social,poly,early
Coelioxys,mid,klepto,klepto,klepto,klepto,late
Colletes,mid,below,excavate,solitary,multiple,late
Dianthidium,small,both,rent,solitary,oligo,late
Dufourea,small,below,excavate,solitary,oligo,late
Epeolus,small,klepto,klepto,klepto,klepto,late
Habropoda,large,below,excavate,solitary,poly,early
Halictus,small,below,excavate,multiple,poly,early
Heriades,small,above,rent,solitary,poly,late
Hoplitis,small,above,rent,solitary,poly,early
Hylaeus,small,both,rent,solitary,poly,mid
Lasioglossum,small,below,excavate,multiple,poly,mid
Lithurgus,large,above,excavate,multiple,oligo,mid
Megachile,large,above,rent,solitary,multiple,early
Melissodes,mid,below,excavate,solitary,oligo,late
Nomada,mid,klepto,klepto,klepto,klepto,early
Osmia,mid,above,rent,solitary,multiple,early
Pseudopanurgus,small,below,excavate,solitary,oligo,late
Sphecodes,small,klepto,klepto,klepto,klepto,late
Stelis,small,klepto,klepto,klepto,klepto,late
Svastra,large,below,excavate,solitary,oligo,mid
Xeromelecta,large,klepto,klepto,klepto,klepto,late
