Site,Treatment,Trees_ha,BA,QMD,Sky,floralab,floralrich,beeab,beerich,Shannon,Simpson,Bare,Forb,Grass,Litter,Rock,Shrub,Tree,Wood,Volume,MeanTemp,MaxTemp,MinTemp,interactionab,interactionrich
C16,Control,260,29.84389343,38.2389746,44.09,23,6,18,9,2.062069541,0.858024691,1,0,0,44,9,9,29,8,67.33603729,18.41235516,30.356,9.373,1,1
C17,Control,900,35.58310371,22.44222076,44.821,0,0,29,7,1.202563125,0.565992866,1,0,0,72,12,1,11,3,2.149022467,17.40647956,41.225,5.552,0,0
C18,Control,490,18.13590447,21.7138454,54.33,9,4,11,7,1.666332585,0.743801653,0,0,1,44,13,25,11,6,29.44956714,17.9827525,30.054,8.978,1,1
C19,Control,300,15.61065195,25.74631419,77.016,76,5,31,11,1.895454573,0.786680541,3,4,0,16,19,30,11,17,65.1074214,17.61411976,35.542,8.182,1,1
C20,Control,340,39.02662987,38.2389746,48.121,9,2,30,8,1.160170446,0.493333333,0,0,0,6,55,13,24,2,26.50461042,18.82511413,30.054,10.944,2,1
C21,Control,320,11.47842055,21.37623665,62.525,331,14,49,26,3.042632795,0.9370756,16,22,13,23,6,10,9,1,12.2573874,19.61581488,31.676,10.357,20,19
C22,Control,390,19.05417811,24.9475544,59.396,21,4,24,13,2.380656145,0.888888889,1,8,0,21,1,34,21,14,86.75683291,17.97666394,33.118,7.079,0,0
C23,Control,660,35.58310371,26.20686775,56.325,4,2,56,16,2.22581582,0.845663265,0,5,2,67,0,15,8,3,4.616418632,18.95978678,33.743,8.182,0,0
C24,Control,480,48.89807154,36.02387432,47.07,6,3,15,9,1.898926789,0.791111111,2,10,0,68,0,9,7,4,1.432681644,18.00120896,32.807,6.37,0,0
C25,Control,810,39.48576669,24.91970804,62.528,3,1,27,11,1.94217033,0.792866941,0,2,2,84,0,2,10,0,0.716340822,18.24727314,35.435,6.166,7,4
C26,Control,760,42.24058762,26.60868125,48.877,3,1,15,8,1.771623956,0.773333333,0,1,4,73,0,7,10,5,20.05754302,17.42475501,33.222,4.831,0,0
C27,Control,260,15.84022036,27.85858842,74.716,232,10,37,24,2.898737052,0.92184076,7,33,29,14,0,13,3,1,0.716340822,18.07453145,33.953,6.37,9,8
C28,Control,350,22.26813587,28.46905692,59.507,11,4,65,14,1.683706778,0.675502959,15,8,12,48,0,3,5,9,20.69429042,18.76324749,35.864,6.37,5,5
C29,Control,630,44.99540856,30.16330994,51.434,54,6,23,9,1.933808969,0.827977316,0,2,2,47,0,9,34,6,41.54776769,17.05675568,33.014,4.934,3,2
C30,Control,720,36.27180894,25.33281963,44.543,5,2,20,14,2.454743359,0.89,1,3,1,39,5,5,19,27,33.90679892,17.24803846,31.676,6.471,0,0
T1,Thinned,160,10.10101008,28.35878256,69.732,145,12,70,25,2.692365105,0.897290485,12,7,1,38,4,26,2,10,29.92712768,18.22032803,31.472,10.161,18,12
T10,Thinned,120,12.39669419,36.27667654,68.781,90,4,34,20,2.843207405,0.932525952,2,6,5,61,0,16,7,3,6.845034524,19.06493352,34.903,8.082,10,9
T11,Thinned,20,4.361799809,52.70878901,75.423,305,10,88,34,3.143982517,0.938016529,2,21,18,32,0,7,8,12,7.243001647,19.55277211,37.824,6.674,61,34
T12,Thinned,210,15.38108354,30.54562317,75.859,51,8,50,22,2.505999208,0.8432,11,8,5,50,0,11,8,7,1.273494795,18.14315223,35.435,6.573,19,18
T13,Thinned,90,11.24885214,39.90230841,82.527,240,12,68,24,2.60373241,0.875027846,21,20,18,32,0,1,1,7,18.46567453,19.08577211,35.542,8.082,22,20
T14,Thinned,150,11.93755737,31.84030931,76.134,63,12,74,26,2.634070577,0.863201351,12,5,4,58,0,9,0,12,9.710397812,19.2488535,35.542,7.381,11,9
T15,Thinned,100,6.427915508,28.61542835,53.317,97,11,20,12,2.302585093,0.88,4,14,21,24,0,24,11,2,1.989835617,18.43599088,35.971,7.682,8,5
T2,Thinned,150,6.427915508,23.36439941,78.468,343,19,108,39,3.211301028,0.93484225,11,20,8,18,0,34,3,6,15.83909151,18.70789453,40.53,9.077,34,28
T3,Thinned,250,12.62626261,25.36486622,69.777,94,9,47,24,2.97583516,0.938886374,1,13,4,48,6,8,7,13,30.32509481,17.69168688,34.585,7.381,3,3
T4,Thinned,80,5.050505042,28.35878256,91.551,156,9,75,33,3.141907173,0.937955556,18,11,4,13,17,5,13,19,62.79921208,17.84394622,39.163,8.382,37,25
T5,Thinned,130,3.902662987,19.55572945,78.938,75,10,43,16,2.093366936,0.774472688,1,5,4,24,9,18,22,17,82.93634853,19.55331069,37.604,9.077,5,5
T6,Thinned,170,6.657483919,22.33550489,78.085,164,9,101,35,3.146319641,0.940299971,9,12,12,12,6,32,12,5,47.19890084,18.86565517,37.935,9.866,56,22
T7,Thinned,170,5.509641864,20.31900307,82.526,176,10,115,42,3.139764517,0.929300567,15,3,5,23,23,7,6,18,37.7272833,19.60205354,50.318,8.68,65,38
T8,Thinned,100,6.427915508,28.61542835,82.528,203,11,45,25,2.888876953,0.915555556,3,15,5,42,0,18,5,12,1.432681644,19.12689507,32.394,8.382,29,25
T9,Thinned,110,6.657483919,27.76667596,88.534,73,4,44,17,2.115148929,0.767561983,5,5,2,57,3,19,2,7,0,19.41347493,36.403,7.782,13,9
